autor,calificacion,contenido,hotel,titulo
Jessica,,"I stayed with Vikara 8 days for yoga and meditation, primarily because of Elba’s experience working with women who have experienced some sort of trauma. Elba, t,...",,
Jessica,,"The jazz is of a quality you would expect in NYC. The energy in the room is amazing. There are maybe 10 tables, max. And there is food and wine via the Italian ,...",,
Jessica,,"I would give this hotel 4.5 stars if that were an option. The hotel isn’t walking distance from the airport, but they do run a shuttle every 30 minutes, 24 hour,...",,
Jessica,,"The HK subway may be my favorite subway in the world. It’s more efficient and has a wider span than London or Madrid, and unlike NYC’s it’s SO clean. And it’s c,...",,
Jessica,,"Spring for the crystal bottom cabs. It’s not that much more expensive, and SO pretty. I honestly enjoyed the view on this ride more than the Big Buddha, which w,...",,
Jessica,,"The ferry is absolutely the easiest way to get to the surrounding islands. It’s about $2 US for a 40 minute ride. The ferry is super clean and air conditioned. ,...",,
Jessica,,"My significant other and I stayed here for a week for my birthday. I’ll start with the good. The location is right in the heart of LKF, which is great for din,...",,
Jessica,,"I spent one night here upon flying into Quito. The room price was very reasonable. My room was clean and the bed was comfortable. The water was hot. The desk at,...",,
Jessica,,"I travel alone frequently, all over the world. I can only think of a couple of times I have been subjected to as much street harassment as I was in Old Town. A ,...",,
Jessica,,"I arrived today on a business trip. I’m stuck in this hell hole for 3 days. My “deluxe queen” room looks like a rural Motel 6 circa 1990, no offense to Motel 6,,...",,
Jessica,,"I stayed at the Godfrey the last two nights, because I was in town for work, and they apparently actively recruited my law firm's corporate business. So we gave,...",,
Jessica,,"The room was lovely with a small balcony, which was a great surprise. The soundproofing was great. The service was great and the food at the bar was good. The s,...",,
Jessica,,"My husband and I stayed at the Pearl for a few nights in January. They were running lower rates than normal at the time (about $200 a night plus taxes for a sta,...",,
Juergen R,,"This hotel/inn is certainly well located with views directly over the iconic Lunenburg habour, looking across to the Lunenburg Golf Club.With COVID-19 restrict,...",,
Juergen R,,"New ownership for an iconic restaurant is never easy. Add to that the Covid-19 restrictions of cutting out half the capacity - which instantly takes away from t,...",,
Juergen R,,"If you are used to getting your $2-4 fixed price menu ~ this will NOT be a place for you. The fixed  4-course meal is $55. After 13 years of coming to Cuenca, t,...",,
Juergen R,,"It's been a number of years since our last visit to this bar/grill/restaurant and a lot has changed. There are new owners, updated decore.The new owners are o,...",,
Juergen R,,"We first got to know this restaurant back in 2013 (+/-). At the time we thought - not bad.Since then we've been back each time we came to Ecuador via Quito an,...",,
Juergen R,,"Walking around Quito is always a great way to ""get into the mood"" of being back in Ecuador. Staying at a great hotel near all the action helps too ( Travellers ,...",,
Juergen R,,"Back in the day, we used to go to the Travellers Inn on a regular basis when flying in/out of Quito. Then the new airport was built and spending an extra $25 ju,...",,
Juergen R,,"Any restaurant that looks like a chain in a high visibility location is usually NOT our first choice. We went there because a family member wanted to try it as ,...",,
Juergen R,,"We came here 5-6 years ago. Since then they have added a whole new section so, that was great.Very informative and 'most' descriptions are also in English. Th,...",,
Juergen R,,"We were going to a wedding just around the corner at the Automobile Museum and this was the closest hotel. No doubt, we could have stayed elsewhere cheaper but ,...",,
Juergen R,,"We wanted to visit someone in Duesseldorf and we're looking for a hotel near by.. This hotel was listed on an on-line map of the area. Our choice was based ONLY,...",,
Juergen R,,"We take EVERY out-of-town visitor for a ferry ride. Where else can you go for a harbour ride, admire the city from the Dartmouth side and all for less than $5/e,...",,
Juergen R,,"This is our favourite place to take ""out-of-town"" visitors. A great place, fantastic views of the city from the roof-top coffee. Very vibrant atmosphere. GREAT ,...",,
Juergen R,,"With a hurricane heading for us, airport shut and our flight cancelled - we didn't feel like cooking, especially as we had just made sure nothing would go bad i,...",,
Juergen R,,"Of & on, we've been coming here once/twice a year for many years. We have NEVER been disappointed.  The service is attentive. The food is of an excellent quali,...",,
Juergen R,,,,
Juergen R,,"We never heard of Pedro's. WE were all set to go to a ""famous"" restaurant near by but, the amount of B.S. with their seating policy turned us off and we went lo,...",,
Juergen R,,"This restaurant was to be THE highlight of our trip to PEI. With so many recommendations, we were looking forward to our experience with great anticipation. The,...",,
Juergen R,,"Easy to get to after a long drive.Very basic - but - everything needed for a good night rest. The ""discounted"" price we paid ( $148) is NOT worth it. On a futu,...",,
Juergen R,,"The location is quite central and easy to reach from most places.The hotel is certainly trying hard to provide a good experience. It is NOT a super luxury reso,...",,
autor,calificacion,contenido,hotel,titulo
Jose villa,40,"Evething was great at the hotel clean room good breafast,nice staff.. just if your planing to have a great   massage  there  dont bother save your money it was ,...",Sheraton Guayaquil Hotel,Sherraton hotel
rschenks2016,50,"We stayed the night 10/28 and 10/29. Nicolas is so friendly and accommodating. We had laundry done which was awesome. We took advantage of the inexpensive break,...",Blue House,Very accommodating
rschenks2016,50,"Clara was awesome. She spoke English very well and was so knowledgeable of the city! The tour was about 3 hours and it was filled with history and tasting choco,...",Strawberry Tours,Clara was amazing
rschenks2016,50,We ate here twice today! We had coffee and Italian sandwich that was so tasty. It was so good. The lady was so sweet and friendly.,Dulcería Colonial,So good
rschenks2016,40,We ate here as recommended if the hostel. I loved the coffee. If your not Spanish speaking it might be easier to ask for some assistance ,El Cafe de Tere,Good food  
rschenks2016,50,"I was a little skeptical staying in a hostel but I must admit it was not a bad experience at all. Samuel picked us up at the airport, booked through the hostel.,...",DreamKapture Hostel,First time staying in a hostel
rschenks2016,50,"Russel, Jayden and Capt Brendon were amazing . We saw lots of whales. We had a great time.  Would love to come back to do this trip again. ",Juneau Whale Watch,Awesome trip
rschenks2016,50,"We has a great time today on this tour. Brook our tour guide was amazing. She was funny, informative and knowledgeable about the history of Skagway and the Yuko,...",Skagway Shore Excursion: Half-Day Tour to the Yukon Border and Suspension Bridge,Beautiful informative day
rschenks2016,50,"Sharon Martini is the owner and artist of this heart felt place of art.  Sharon is so warm and inviting.  It really is a great place to visit while at Treasure ,...",The Mud Palace Gallery,Whimsical Spiritual experience
rschenks2016,50,"I would say if you want a relaxing wonderful experience with amazing people, well this is your place. We had plenty of time to walk to town enjoy the flavor of ,...",Kudehya Guesthouse,Relaxing Experience 
rschenks2016,50,We stopped to have pizza... and drinks. We felt the drink prices were certainly reasonable. We ate over the water.,Jack Sprat,Great Pizza 
rschenks2016,50,"We walked here to breakfast several times during our trip to Treasure Beach.  It was just so different than I have ever experienced. It was a local hangout and ,...",Smurfs Cafe,The Smurf Experience 
rschenks2016,20,"After almost a 3 hour trip from the airport we arrived at about 8 pm. The resort was under renovations which we were not made aware of by the travel agent or by,...",Grand Paradise Samana,expectation greater than reality
georgiax21,50,"Beautiful & delicious homemade cakes. Freshly prepared sandwiches,salads, & juice. Great coffee, with fantastic views of the ancient amphitheatre and acropolis ,...",Melia Cafe Lindos,The best cafe!
georgiax21,20,"The bathroom (which was a shack in the corner of our room without a roof, and sack material to cover the glass sides for privacy) was filthy dirty, as was the b,...",Manso Boutique Guesthouse,Filthy Dirty & falling apart
georgiax21,50,"We arrived hours before check in after a long travel. Annette @ the reception desk was extremely helpful and friendly and went above and beyond and gave us a ro,...",Plaza Paitilla Inn,Customer service excellence! Annette B.
georgiax21,10,"We arrived early hours of the morning to this hostel. The door was closed and lights off, we rang the bell with no luck. The property advertises 24 hour recepti,...",Hostal Carolina Princess Marbella,No room for our reservation. No apology! Avoid this fraudulent shambles of a hostel!
georgiax21,50,"Riad Zinoun was great value, so when we booked we really didn't know what to expect. On arrival we were greeted by friendly faces, mint tea and cookies. The Ria,...",Riad Zinoun,Experience Marrakech. Pefect!
georgiax21,50,"Delicious REAL Moroccan food. Incredible value. The two of us ate for under £8 for a main meal side orders and drinks on three separate occasions. The staff wer,...",Snack Toubkal,An unexpected gem!
georgiax21,50,"I've been using this pub since I was a child. I've never had a bad meal there. The menu is extensive with anything from homey pies, to pasta, or fresh fish. The,...",The Dog Inn,True English pub. 
georgiax21,50,"Big menu, delicious home cooked food. Friendly and competent staff. Excellent value. What more do you need? ",Mario's Restaurant,Marios- the best!
georgiax21,50,"My husband and I stayed in the B&B cottage for a weekend for a friends wedding. It was spacious, clean & comfortable with a well kept garden and patio area. W,...",The Dog Inn Pub,Great English pub!
georgiax21,50,"My husband and I stayed in the B&B cottage for a weekend for a friends wedding. It was spacious, clean & comfortable with a well kept garden and patio area. W,...",The Dog Inn,"Cosy, traditional, tasty and friendly."
georgiax21,50,"We have lived in Lindos for two years permenantly, and visited before that. We have always eaten at Dionysos, the food staff/service has never let us down! DELI,...",Dionysos Restaurant-Meze,The best in lindos For Sure!
georgiax21,50,"Ive been visiting Lindos since 2008, and have lived here full time for the last two years. any given chance i get, i eat at Arhontiko. the food is to die for, t,...",Arhontiko,Outstanding
autor,calificacion,contenido,hotel,titulo
killa1980,40,"fui con mi familia esperamos unos 15 minutos para que se liberara una mesa, el mozo que nos recibio fue muy amable , pero la atencion se descuido un poco con lo,...",El Bodegon,
killa1980,50,"Jose y Dona al igual que el joven de recepcion fueron excelentes anfitriones siempre dispuestos a dar informacion adecuada , la habitacion estaba limpia y todo ,...",Chachapoyas Backpackers Hostal,
killa1980,40,"Fui en ruta a tacna , me parecion muy agradable para tomar fotos de la vida local y pescadores , tienen paseos en bote de 45 minutos por unos 5 a 10 soles aprox,...",Puerto de Ilo,
killa1980,50,"es un museo muy bien conservado pequeño pero con piezas muy interesantes . sugiero tomar los tours o taxis (40 soles) el area es tambien propicia para caminar u,...",Museo Chiribaya,
killa1980,30,me gusta la historia y los misterios y caminar por eso me gusto ademas sugiero acompañarlos con una visita a alguna bodega en la ruta.,Geoglifos de Chen Chen,
killa1980,40,museo pequeño interesante y muy cerca es barato sugeriria a todo el que este por moquegua darse un salto si o si,Museo contisuyo,
killa1980,40,es el punto centro de la ciudad vale la pena recorrerla y disfrutarla tomar un helado y ver a la gente pasar su pileta es muy bella tambien ,Plaza de Armas,
killa1980,30," no soy muy interesada en lo religiosos y esta iglesia es linda aunque no tan cargada de arte como otras , lo que es interesante segun los locales (yo no entre ,...",Catedral Santa Catalina,
killa1980,40,"el lugar es agradable aunque simple, la atencion es local tienen platos tradicionales de la region y comida peruana en general. El servicio es rapido y los prec,...",Restaurant Moraly,
killa1980,30,"cumple bien luego de haber visto otros , el personal es muy amable, las habitaciones son limpias y amplias, las camas y almohadas comodas ,decoracion con dibujo,...",Hostal Atlantis,
killa1980,30,"super centrico, seguro,bastante economico , como para estar una noche . Cuenta con tv cable, el agua no es muy caliente ,las habitaciones son amplias , aunque l,...",Hostal Inclan,
killa1980,50,"muy buen ambiente , buen cafe y postres aceptan tarjetas de credito y la atencion es muy amable, tipo moderno.",Entre Masas,
killa1980,30,"la comida es solo buena no espectacular,pero esta acorde con los precios, es un lugar bastante popular, no me gusto que no se vea muy pulcro pero supongo que er,...",Chifa Xin Fu,
killa1980,40,"mas que por todo lo que ofrece ,es un sitio simbolico para los peruanos ,esta algo alejado pero es uno de esos sitios que tenemos el deber peruano de visitar.la,...",Museo De Sitio Alto dela Alianza,
killa1980,50,"es un restaurante como le gusta a las familias tradicionales peruanas con musica local en vivo y fuerte, risas y familias disfrutando, la comida es muy buena y ,...",la glorieta,
killa1980,,"Si tienen un dia libre y ya estan cansados de las compras en miraflores o no quieren gastar mucho o viajar muchas horas les recomiendo mi distrito . Chaclacayo ,...",Lima,
killa1980,40,"Las habitaciones son agradables, tiene los servicios basicos buen wifi,agua caliente, una ventaja es que esta cerca de las aguas termales y relativamente cerca ,...",Hatun Inti Classic by DOT Tradition,
killa1980,40,"generalmente lo buscan como catarata de mandor pero la catarata es algo pequeña , sin embargo la caminata es interesante y el hecho de no ser tan concurrida,en ,...",Mandor,
killa1980,30,"El servicio a bordo no es malo pero los asientos son demasiado rectos y poco espacio para personas altas, para las rodillas, a veces el servicio de snacks inclu,...",LATAM Airlines,
killa1980,50,"Esta huaca ubicada en el corazon del moderno distrito de miraflores es algo que uno no se espera ,increible que un lugar asi se ubique en medio de edificios y c,...",Huaca Pucllana,
Fermay F,40,"Ayer recien llegados mi esposo y yo, tuvimos la suerte de pasar caminando por el Akelarre, nos llamo mucho la ateción y no nos arrepentimos...Comida de primera,,...",Akelarre,
Fermay F,40,"Llegamos aquí con mi esposo por que el taxista no daba con otro hotel ...Siendo domingo donde en esta ciudad bella no hay nada.... Nos han atendido muy bien...e,...",Gran Hotel Paris,
Fermay F,40,"Hace unas horas estuvimos mi esposo y yo comiendo en el Carbon Restaurent...fue una experiencia muy buena...comimos unas empanaditas de la verde muy buenas...mi,...",Carbon Restaurant,
Fermay F,40,Nuestra segunda casa para descansar ... a pesar de no tener piscina ni jardines....,Hotel Emilio,
Fermay F,40,"Mi esposo y yo visitamos la Ciudad Heroica de Ayacucho-Peru.Fuimos a conocer algo mas de nuestra Patria.Salimos en Cruz del Sur bueno el sevicio, llegamos a la,...",Hotel Rafaela,
Fermay F,10,"Estuvimos en junio del 2011, fuimos con un paquete que nos vendio Saga,nos engañaron en cuanto a la habitacion, nos ofrecieron un bungalo y nos dieron un cuarto,...",DM Hoteles Tarapoto,
Jeremy Aquino,50,"Uno de los mejores restaurantes de comida marina, criolla y típicos de la selva.  Cuentan con 2 restaurantes ubicados  en KImbiri y en Pichari, unos de los mejo,...",Muki Restobar Marisqueria Vraem,
Jeremy Aquino,,,Catarata Golondrinas de kimbiri,
Jeremy Aquino,,,Comunidad Nativa de Anaro,
Jeremy Aquino,50,"Pase una hermosa noche con mi novia, el personal fue muy amable y las instalaciones super para relajarse una muy bonita experiencia. El hotel está ubicado a 30,...",Hotel Encantos del Vraem,
Jeremy Aquino,50,"Muy bonita la apertura de los módulos de venta de platos típicos de la selva. Cuenta con un hermoso mirador para apreciar varios distritos del Vraem. Lo bueno e,...",Mirador del Vraem,
Jeremy Aquino,,,Piedras Colgantes de Samaniato,
Jeremy Aquino,,,Piscigranja Municipal de Kimbiri,
Jeremy Aquino,,,Piedras Colgantes de Samaniato,
Jeremy Aquino,,,Hotel Valle Dorado,
Jeremy Aquino,40,"Recomendable, muy rica la pizza hecha en horno artesanal.  En general la base de las pizzas muy delgadas y crocantes, los servicios están al lado del horno y no,...",Pizzeria Italiana,
Jeremy Aquino,30,La propietaria nos indico que estaba lleno el balcón pero no fue así... De otra manera le daba por excelente ya que el servicio brindado fue bueno...,"Restaurante ""YAKU""",
Jeremy Aquino,,,Tours in Machu Picchu,
Jeremy Aquino,50,"Este atractivo turístico está ubicado en el centro poblado de Unión Vista alegre, para llegar hasta este enigmático destino se requiere tomar una movilidad por ,...",Manco Pata,
Jeremy Aquino,,"Que  mal pero lo mas seguro es adquirir los servicios de un operador local  ademas que los costos son algo mas economicos comparados con algunas empresas con se,...",Machu Picchu,
andreagarcia07,50,"Milroy was our driver throughout the trip around Sri Lanka. He was really nice, attentive, punctual and really enjoyed showing us his beautiful country. He know,...",Romello Tours,
andreagarcia07,50,"The hotel itself is gorgeous. The location is mesmerizing, surrounded by tea plantations. We loved the experience. The pool is really nice and the room was comf,...",Langdale Boutique Hotel by Amaya,
andreagarcia07,50,"Es una casa linda de estilo arquitectónico de Cartagena. Los cuartos súper lindos y cómodos. En general, la atención increíble. El desayuno estaba rico, tenia,...",Bantu Hotel by Faranda Boutique,
andreagarcia07,,"Hello,We have been victims of the same agency and a very similar situation. We asked repeatedly for someone to come and see the apartment to get a written proo,...",Barcelona,
andreagarcia07,,"Thank you for all your updated info! You're post is very helpful! We are planning to go to Bagan in November, we will be in Thailand first. Do you know if we ,...",Myanmar,
andreagarcia07,50,"The apartments are amazing. They have a gorgeous view and the location in Imerovigli is great because it's a quiet area but walking distance from Fira where you,...",Heliades Apartments,
andreagarcia07,50,"We stayed for 2 nights and had a great experience. It's a cute family run hotel, they pick you up from the airport and drive you back or to the port if you're t,...",Milena Hotel,
andreagarcia07,20,There is so many people walking around that you can't really see the beauty. The other thing is that it's like half a block long. Not that much to see.,Little Venice,
andreagarcia07,50,The food was amazing and the atmosphere was really nice as well!  We both had pasta dishes that were well served and delicious.,La Rosticceria,
andreagarcia07,50,"It really feels like you're in the country, the hotel is surrounded by trees. It has a beautiful pool and an excellent breakfast. The hotel is right outside Alg,...",Vessus Country Hotel,
andreagarcia07,50,"The beaches are beautiful and the color of the sea is spectacular. You can stay on La Maddalena island or take a boat trip that takes you to the different islan,...",Parco Nazionale dell'Arcipelago di La Maddalena,
andreagarcia07,50,"I was looking for a cute place to stay outside the city and near Vik. This guesthouse was located in a beautiful place and we had a great view from our room. Th,...",Guesthouse Vellir,
andreagarcia07,50,"Beautiful beach! Loved the colors of the ocean, sand and sky all together.  If you go in winter like we did, be prepared because it's very windy",Black Sand Beach,
andreagarcia07,50,"It's a beautiful building and in a nice, quiet street which is great because so much happens around Amsterdam and it can get noisy and busy. It's well located, ,...",Hotel The Neighbour's Magnolia,
andreagarcia07,50,"We have been travelling for 8 days now and this is the best meal we've had. Everything was delicious and the restaurant is very cozy, you feel at home. The serv,...",Madame Pluesch,
andreagarcia07,50,"I fell in love with this hotel. The team that works there is amazing, super nice and ready to help out with whatever they can. The rooms are impecable, spacious,...",B The Guest,
andreagarcia07,40,"If you eat from the buffet (and I am not a fan of buffets), the food is really good and you can choose different things to try out a typical Irish meal. If you ,...",O'Neill's,
andreagarcia07,50,"Loved this park, it's great to go for a walk or chill after walking around Dublin. It's particularly pretty during fall.",St Stephens Green,
andreagarcia07,50,"Amazing fondue!! We simply loved the food here. We saw others ordering raclette and that looked amazing as well. Plan ahead and make a reservation, by phone, th,...",Le Chalet Savoyard,
andreagarcia07,40,"We stayed at the hotel for 4 nights and after ready a lot of reviews from different hotels and looking for a good price - quality ratio, Hotel des Arts Bastille,...",Hôtel des Arts,
Víctor O.,50,"Buen lugar para almorzar y pasar un buen rato con amigos, Astrid siempre sale a conversar con sus comensales y es muy divertida!",Astrid & Gaston,
Víctor O.,40,"A Marcahuasi he idos dos veces, la primera hace 3 años y la última hace unos meses, qué te puedo recomendar, veamos:a) No vayas en Semana Santa dado que hay de,...",Marcahuasi,
Víctor O.,50,"Tantas veces Tanta, si vuelvo seguido a este restaurante es por lo agradable de su comida y sus buenos chilcanos de pisco. Que te puedo recomendar, pues prueba ,...",Tanta,
Víctor O.,50,"A este restaurante queríamos ir hace mucho tiempo y justo se nos presento un descuento del banco del cual somos clientes, ir a Astrid y Gaston no es solo ir a c,...",Astrid & Gaston,
Víctor O.,40,"Es una cevichería clásica de Surquillo ubicada en el Mercado Nº1 de este distrito, tiene gran afluencia de público por lo que si vas un fin de semana tendrás qu,...",Bam Bam y Sus Conchas Negras,
Víctor O.,40,"Fui a este local por una nota que apareció en la revista Somos y, veamos, el sitio es pequeño y clásico, a favor: la comida, las conchas a la parmesana y el roc,...",Olaya Surquillo,
Víctor O.,50,"Este restaurante está ubicado en el distrito de Surquillo, a pocas cuadras del famoso Mercado Nª1. La comida es deliciosa, así de directo, este restaurante fue ,...",Kanete,
Víctor O.,50,"Me animé a ir a estas ruinas luego de leer varias recomendaciones en Trip Advisor y la verdad no me arrepiento. Llegar es fácil y la ruta esta bien señalizada, ,...",Pinkuylluna Mountain Granaries,
Víctor O.,50,"Los dos días seguidos vinimos a Ollantaytambo para pasear  y almorzamos en este restaurante, todo delicioso y muy buena atención. Recomiendo el rocoto relleno, ,...",Don Dante Restaurante,
Víctor O.,40,"La comida es deliciosa, muy buena atención y amabilidad por parte de la dueña. Llegue al restaurante por referencias de Trip Advisor y la verdad fue un gran des,...",Q'anela Restaurante,
Víctor O.,40,"El viaje familiar coincidió con el cumpleaños de mi madre, por eso, ese día la llevamos a este restaurante, me gusto mucho la ubicación y la vista pues tiene vi,...",Limoncello,
Víctor O.,50,"Cuando ingresas a esta tradicional panadería - cafetería, es como retroceder en el tiempo. Destaco sus panes pero sobre todo sus paninis, el de queso y tomate e,...","Panadería, Pastelería & Café  Rose",
Víctor O.,50,"El restaurante está ubicado en el corazón de la urbanización Aurora, en Miraflores, a una cuadra de Wong. En este local hemos ordenado pastas, pizzas, entradas ,...",Spizza,
Víctor O.,40,"La comida es excelente y a precio razonable. Mis platos favoritos son el Chaufa amazónico y los fetuccinis en salsa de cocona. Les advierto, los platos son abun,...",Mar y Selva Cocina Amazónica Fusión,
Víctor O.,50,"El hotel es demasiado lindo, tiene una iglesia preciosa al medio del pequeño lago que tienen. Recomiendo quedarse en la zona colonial pues me parece la más boni,...",Aranwa Sacred Valley Hotel & Wellness,
Víctor O.,30,"El hotel se encuentra ubicado en la zona de Equipetrol que es una zona residencia y donde muchas empresas tiene sus oficinas; por estar en la avenida San Martin,...",Hampton by Hilton Santa Cruz / Equipetrol,
Víctor O.,40,"Una experiencia agradable fue almorzar en este pequeño restaurante situado en Miraflores.A pesar que la comida demoro un poco en servirse valió la pena la esp,...",La Estancia Cafe Restaurante,
Víctor O.,30,El lugar es bonito pero demoran mucho en servir la cena además que te ofrecen piqueos sin mostrarte la carta.Los tragos son buenos pero la espera desespera.,El Senorio de Sulco,
Víctor O.,40,"Por trabajo estoy viviendo en Santa Cruz unos meses y en la primera semana me invitaron a cenar a este lugar, quede maravillado con lo rico de su carne y es que,...",El Arriero,
Víctor O.,40,"El hotel se ubica en un condominio privado de golf llamado Playacar por lo que toda la zona es muy segura y limpia, ademas, el Iberostar Quetzal y Tucán se encu,...",Iberostar Quetzal,
hbkm,40,"Very good breakfast options and by far the best buns in town. I’d give it 3 stars if it wasn’t for the buns. Service is friendly and quick as long as it doesn’t,...",Cafe Le Paris,
hbkm,50,"Really good food in a nice location. They serve a variety from salads, to meat dishes, pasta and pizza. Also some local dishes from Berlin, but mainly, as the n,...",Macedonia,
hbkm,40,"Went there for a few non-alcoholic drinks with a friend. Location is nice and easily reachable by car, public transportation or bike. A bit noisy right next to ,...",Loretta am Wannsee,
hbkm,50,"Authentic Indian food and the ample menu didn’t leave any wish open. Well spiced, large enough portions, friendly service. A piece of India in the center of Lev,...",Curry `n´ Spice,
hbkm,40,"Ordered takeaway during Corona lock down. Food was good and plenty, could have been a bit more spicy, though. In general, the menu is ample and the people are n,...",Die Chinesische Mauer,
hbkm,50,"Went there with the family on a weekday in October and the place was moderately visited. Gave us the chance to ride any attraction as often as we wanted without,...",Heide Park,
hbkm,40,"Decent place with all cocktails for 4.50€. The atmosphere is pretty busy, however, drinks are good and the list is pretty complete for a all-for-same-price cock,...",Que Pasa,
hbkm,40,"On the positive: Great value for money, quick and friendly service, good food, central location. On the negative: The atmosphere is more bistro than restaurant,,...",La Cucina,
hbkm,40,"The Wendland Therme is one of the few rainy day activities in the area and is certainly better than spending a day inside if the weather is treating you not so ,...",Wendland Therme,
hbkm,50,"If you are a foreign tourist, you have seen the “must visits” of Germany and now you are looking for something “typical German”, visit the Wendland for a few da,...",Rundlingsmuseum  Wendlandhof Lubeln,
hbkm,50,"We stopped by at Lüdenscheid city center for a stroll and had lunch at Brauhaus Schillerbad. The food was excellent and the portions were big enough to feet an ,...",Brauhaus Schillerbad,
hbkm,30,"Okay, when in Aachen you buy Printen as you buy marzipan when in Lübeck. They know, so you have to pay a price one can only ask from a tourist. The stuff is goo,...",Nobis Printen Bäckerei Aachen,
hbkm,50,"The treasury of Aachen cathedral is not a giant collection, but unique pieces that give you a good idea of medieval Germany and Charles the Great. The exhibits ,...",Treasury of Aachen Cathedral,
hbkm,50,"I’m a historically interested person and really looking forward to seeing the Cathedral of Aachen. And I was amazed! The building was constructed during differe,...",Aachen Cathedral,
hbkm,40,"This Japanese garden is located right in the middle of Bayer’s global headquarters. So most visitors are Bayer employees strolling around during their lunch bre,...",Japanischer Garten Leverkusen,
hbkm,50,"This is really good, thin-crust pizza. A good variety, a bit creative, fast and friendly service, maybe a bit pricey. But well worth spending the money.They h,...",Stuckwerk,
hbkm,50,"Pack your back and go there! Now! This is certainly the best restaurant in the North of Peru!The food is spectacular, Peruvian classics but with a creative to,...",Marinus,
hbkm,30,"The most annoying was the relatively long waiting time. Be it for the menu, the food or the bill, although it was a regular night and not particularly busy, eac,...",La Bodega de La Trattoria,
hbkm,50,"Went there specially to do a kayaking tour in the park. Two tours are offered: The short paddling tour of about one hour (although they tell you two) and the lo,...",Santuario Nacional Manglares de Tumbes,
hbkm,50,"Went to Zarumilla because I wanted to visit the Manglares de Tumbes National Sanctuary. The family running the hotel was really nice, picked me up from the airp,...",Hotel Costa Manglar,
